id,type,address,neighborhood
DPW1506454,Block Party Permit,"2912 FERNWALD, PITTSBURGH, ALLEGHENY, PA, 15217",Squirrel Hill South
DPW1506438,Block Party Permit,"117 BONVUE ST, PITTSBURGH, PA, 15214",Perry North
DPW1506301,Block Party Permit,"0 MONTEREY ST, PITTSBURGH, PA, 15212",
DPW1506414,Block Party Permit,"1348 DENNISTON ST, PITTSBURGH, PA, 15217",Point Breeze
DPW1506359,Block Party Permit,"1117 PORTLAND ST, PITTSBURGH, PA, 15206",Highland Park
DPW1506354,Block Party Permit,"3104 NORWOOD AVE, PITTSBURGH, PA, 15214",Perry North
DPW1506272,Block Party Permit,"5128 DEARBORN, PITTSBURGH, ALLEGHENY, PA, 15224",Garfield
DPW1506274,Block Party Permit,"146 OLYMPIA, PITTSBURGH, ALLEGHENY, PA, 15211",Mount Washington
DPW1506187,Block Party Permit,"908 WELLESLEY, PITTSBURGH, ALLEGHENY, PA, 15206",Highland Park
DPW1506163,Block Party Permit,"325 DINWIDDIE ST, PITTSBURGH, PA, 15219",Crawford-Roberts
DPW1506142,Block Party Permit,"352 WEST PENN, PITTSBURGH, ALLEGHENY, PA, 15224",Bloomfield
DPW1506123,Block Party Permit,"202 N LANG, PITTSBURGH, ALLEGHENY, PA, 15208",Point Breeze North
DPW1503245,Block Party Permit,"346 SPAHR ST, PITTSBURGH, PA, 15232",Shadyside
DPW1506087,Block Party Permit,"118 RICHEY, PITTSBURGH, ALLEGHENY, PA, 15214",Perry North
DPW1506088,Block Party Permit,"830 PERALTA, PITTSBURGH, ALLEGHENY, PA, 15212",East Allegheny
DPW1506062,Block Party Permit,"5727 WOODMONT, PITTSBURGH, ALLEGHENY, PA, 15217",Squirrel Hill North
DPW1506022,Block Party Permit,"631 SUISMON, PITTSBURGH, ALLEGHENY, PA, 15212",East Allegheny
DPW1506038,Block Party Permit,"900 CONSTANCE, PITTSBURGH, ALLEGHENY, PA, 15212",East Allegheny
DPW1506002,Block Party Permit,"300 GEARING, PITTSBURGH, ALLEGHENY, PA, 15210",Beltzhoover
DPW1505997,Block Party Permit,"315 ROBERTS, PITTSBURGH, ALLEGHENY, PA, 15219",Crawford-Roberts
DPW1505982,Block Party Permit,"7135 CARD, PITTSBURGH, ALLEGHENY, PA, 15208",Point Breeze
DPW1505994,Block Party Permit,"2236 WILSON, PITTSBURGH, ALLEGHENY, PA, 15214",Perry South
DPW1505942,Block Party Permit,"1913 LOOKOUT, PITTSBURGH, ALLEGHENY, PA, 15212",Troy Hill
DPW1505889,Block Party Permit,"4151 WINDSOR ST, PITTSBURGH, PA, 15217",Greenfield
DPW1505892,Block Party Permit,"4314 MAIN ST, PITTSBURGH, PA, 15224",Bloomfield
DPW1505841,Block Party Permit,"5507 DUNMOYLE, PITTSBURGH, ALLEGHENY, PA, 15217",Squirrel Hill North
DPW1505851,Block Party Permit,"6641 WOODWELL, PITTSBURGH, ALLEGHENY, PA, 15217",Squirrel Hill North
DPW1505852,Block Party Permit,"5427 NORTHUMBERLAND, PITTSBURGH, ALLEGHENY, PA, 15217",Squirrel Hill North
DPW1505807,Block Party Permit,"1118 WIGHTMAN ST, PITTSBURGH, PA, 15217",Squirrel Hill North
DPW1505781,Block Party Permit,"1205 INVERNESS, PITTSBURGH, ALLEGHENY, PA, 15217",Squirrel Hill North
DPW1505782,Block Party Permit,"422 FREELAND, PITTSBURGH, ALLEGHENY, PA, 15210",Beltzhoover
DPW1505762,Block Party Permit,"2315 WYLIE AVE, PITTSBURGH, PA, 15219",Middle Hill
DPW1505701,Block Party Permit,"303 WALTER, PITTSBURGH, ALLEGHENY, PA, 15210",Allentown
DPW1505713,Block Party Permit,"1214 BENNINGTON AVE, PITTSBURGH, PA, 15217",Squirrel Hill North
DPW1505719,Block Party Permit,"7121 IDLEWILD, PITTSBURGH, ALLEGHENY, PA, 15208",Homewood North
DPW1505696,Block Party Permit,"1222 N SHERIDAN AVE, PITTSBURGH, PA, 15206",Highland Park
DPW1505670,Block Party Permit,"4947 WALLINGFORD ST, PITTSBURGH, PA, 15213",Shadyside
DPW1505624,Block Party Permit,"1347 SQUIRREL HILL AVE, PITTSBURGH, PA, 15217",Squirrel Hill North
DPW1505638,Block Party Permit,"1208 RESACA, PITTSBURGH, ALLEGHENY, PA, 15212",Central Northside
DPW1505596,Block Party Permit,"335 HALE ST, PITTSBURGH, PA, 15208",Homewood South
DPW1505597,Block Party Permit,"1426 MORNINGSIDE AVE, PITTSBURGH, PA, 15206",Morningside
DPW1505561,Block Party Permit,"82 LAFFERTY AVE, PITTSBURGH, PA, 15210",Beltzhoover
DPW1505566,Block Party Permit,"1030 KING, PITTSBURGH, ALLEGHENY, PA, 15206",Highland Park
DPW1505527,Block Party Permit,"31 MILTENBERGER, PITTSBURGH, ALLEGHENY, PA, 15219",Bluff
DPW1505532,Block Party Permit,"1212 PENNSYLVANIA, PITTSBURGH, ALLEGHENY, PA, 15233",Manchester
DPW1505490,Block Party Permit,"1010 HEBERTON, PITTSBURGH, ALLEGHENY, PA, 15206",Highland Park
DPW1505462,Block Party Permit,"4408 EDEN, PITTSBURGH, ALLEGHENY, PA, 15201",Central Lawrenceville
DPW1505463,Block Party Permit,"161 COTTON, PITTSBURGH, ALLEGHENY, PA, 15201",Central Lawrenceville
DPW1505467,Block Party Permit,"5259 CARNEGIE, PITTSBURGH, ALLEGHENY, PA, 15201",Upper Lawrenceville
DPW1505384,Block Party Permit,"578 DORCHESTER AVE, PITTSBURGH, PA, 15226",Brookline
DPW1505315,Block Party Permit,"420 DINWIIDIE, PITTSBURGH, PA",Crawford-Roberts
DPW1505278,Block Party Permit,"1596 VILLANOVA RD, PITTSBURGH, PA, 15206",Morningside
DPW1505280,Block Party Permit,"1178 WINDERMERE DR, PITTSBURGH, PA, 15218",Swisshelm Park
DPW1505246,Block Party Permit,"906 MILTON ST, PITTSBURGH, PA, 15218",Regent Square
DPW1505249,Block Party Permit,"619 TRIPOLI ST, PITTSBURGH, PA, 15212",East Allegheny
DPW1505237,Block Party Permit,"7906 FRANKSTOWN AVE, PITTSBURGH, PA, 15221",East Hills
DPW1504974,Block Party Permit,"717 SHERWOOD AVE, PITTSBURGH, PA, 15204",Sheraden
DPW1505142,Block Party Permit,"0 37TH ST, PITTSBURGH, PA, 15201",Lower Lawrenceville
DPW1505143,Block Party Permit,"0 HUGO WAY, PITTSBURGH, PA, 15224",Central Lawrenceville
DPW1505125,Block Party Permit,"322 RAYMOND ST, PITTSBURGH, PA, 15218",Swisshelm Park
DPW1505132,Block Party Permit,"4537 CHATSWORTH ST, PITTSBURGH, PA, 15207",Hazelwood
DPW1505138,Block Party Permit,"414 MIDWOOD AVE, PITTSBURGH, PA, 15210",Overbrook
DPW1505139,Block Party Permit,"0 49TH ST, PITTSBURGH, PA, 15201",Central Lawrenceville
DPW1505114,Block Party Permit,"7302 MOUNT VERNON ST, PITTSBURGH, PA, 15208",Homewood North
DPW1505086,Block Party Permit,"5524 HAYS ST, PITTSBURGH, PA, 15206",East Liberty
DPW1505088,Block Party Permit,"181 S 17TH ST, PITTSBURGH, PA, 15203",South Side Flats
DPW1505054,Block Party Permit,"0 BELLEFONTE ST, PITTSBURGH, PA, 15232",Shadyside
DPW1505025,Block Party Permit,"7328 MONTICELLO ST, PITTSBURGH, PA, 15208",Homewood North
DPW1505015,Block Party Permit,"5854 SOLWAY ST, PITTSBURGH, PA, 15217",Squirrel Hill North
DPW1504991,Block Party Permit,"92 SYLVANIA AVE, PITTSBURGH, PA, 15210",Beltzhoover
DPW1504970,Block Party Permit,"2653 PERRYSVILLE AVE, PITTSBURGH, PA, 15214",Perry South
DPW1504948,Block Party Permit,"5422 KINCAID ST, PITTSBURGH, PA, 15206",Garfield
DPW1504954,Block Party Permit,"400 S LANG AVE, PITTSBURGH, PA, 15208",Point Breeze
DPW1504881,Block Party Permit,"0 N EVALINE ST, PITTSBURGH, PA, 15224",Garfield
DPW1504839,Block Party Permit,"1100 MORNINGSIDE AVE, PITTSBURGH, PA, 15206",Morningside
DPW1504791,Block Party Permit,"250 EMERSON ST, PITTSBURGH, PA, 15206",Shadyside
DPW1504797,Block Party Permit,"5473 FAIR OAKS ST, PITTSBURGH, PA, 15217",Squirrel Hill North
DPW1504766,Block Party Permit,"5454 ALBEMARLE AVE, PITTSBURGH, PA, 15237",Squirrel Hill North
DPW1504767,Block Party Permit,"1911 WYLIE AVE, PITTSBURGH, PA, 15219",Crawford-Roberts
DPW1504748,Block Party Permit,"1319 ALLEGHENY AVE, PITTSBURGH, PA, 15233",Manchester
DPW1502780,Block Party Permit,"5510 DARLINGTON RD, PITTSBURGH, PA, 15217",Squirrel Hill South
DPW1504663,Block Party Permit,"2515 EDGAR ST, PITTSBURGH, PA, 15227",Carrick
DPW1504667,Block Party Permit,"2315 WYLIE AVE, PITTSBURGH, PA, 15219",Middle Hill
DPW1504647,Block Party Permit,"3105 ALLENDALE ST, PITTSBURGH, PA, 15204",Sheraden
DPW1504643,Block Party Permit,"1333 PAGE ST, PITTSBURGH, PA, 15233",Manchester
DPW1504590,Block Party Permit,"5210 WESTMINSTER PL, PITTSBURGH, PA, 15232",Shadyside
DPW1504591,Block Party Permit,"5210 WESTMINSTER PL, PITTSBURGH, PA, 15232",Shadyside
DPW1504576,Block Party Permit,"1422 SEVERN ST, PITTSBURGH, PA, 15217",Squirrel Hill North
DPW1504566,Block Party Permit,"1630 OAKHURST ST, PITTSBURGH, PA, 15210",Carrick
DPW1504573,Block Party Permit,"486 S GRAHAM ST, PITTSBURGH, PA, 15232",Bloomfield
DPW1504537,Block Party Permit,"3531 SIMEN AVE, PITTSBURGH, PA, 15212",Brighton Heights
DPW1504524,Block Party Permit,"0 KEYSTONE ST, PITTSBURGH, PA, 15201",Upper Lawrenceville
DPW1504506,Block Party Permit,"60 S 18TH ST, PITTSBURGH, PA, 15203",South Side Flats
DPW1504417,Block Party Permit,"232 S PACIFIC AVE, PITTSBURGH, PA, 15224",Bloomfield
DPW1504439,Block Party Permit,"2041 LAUTNER ST, PITTSBURGH, PA, 15212",Troy Hill
DPW1504441,Block Party Permit,"4742 CORDAY WAY, PITTSBURGH, PA, 15224",Bloomfield
DPW1503160,Block Party Permit,"7149 HERMITAGE ST, PITTSBURGH, PA, 15208",Homewood North
DPW1504418,Block Party Permit,"5000 DEARBORN ST, PITTSBURGH, PA, 15224",Garfield
DPW1504431,Block Party Permit,"3455 MILWAUKEE ST, PITTSBURGH, PA, 15219",Upper Hill
DPW1504415,Block Party Permit,"832 DUNSTER ST, PITTSBURGH, PA, 15226",Brookline
DPW1504359,Block Party Permit,"0 KEDRON ST, PITTSBURGH, PA, 15208",Homewood West
DPW1504334,Block Party Permit,"1506 MONTEREY ST, PITTSBURGH, PA, 15212",Central Northside
DPW1504318,Block Party Permit,"7212 EVERTON ST, PITTSBURGH, PA, 15206",Lincoln-Lemington-Belmar
DPW1504327,Block Party Permit,"302 MOORE AVE, PITTSBURGH, PA, 15210",Knoxville
DPW1504302,Block Party Permit,"117 BONVUE ST, PITTSBURGH, PA, 15214",Perry North
DPW1504303,Block Party Permit,"117 BONVUE ST, PITTSBURGH, PA, 15214",Perry North
DPW1504293,Block Party Permit,"3853 OSWEGO ST, PITTSBURGH, PA, 15212",Brighton Heights
DPW1504256,Block Party Permit,"117 SANFORD ST, PITTSBURGH, PA, 15204",Esplen
DPW1504241,Block Party Permit,"21 LANARK ST, PITTSBURGH, PA, 15214",Fineview
DPW1504252,Block Party Permit,"800 BEECH AVE, PITTSBURGH, PA, 15233",Allegheny West
DPW1504253,Block Party Permit,"900 LINCOLN AVE, PITTSBURGH, PA, 15206",Homewood West
DPW1504254,Block Party Permit,"800 BEECH AVE, PITTSBURGH, PA, 15233",Allegheny West
DPW1504216,Block Party Permit,"1268 STRAKA ST, PITTSBURGH, PA, 15204",Crafton Heights
DPW1504200,Block Party Permit,"141 JUCUNDA ST, PITTSBURGH, PA, 15210",Knoxville
DPW1504202,Block Party Permit,"3936 HOOSAC ST, PITTSBURGH, PA, 15207",Greenfield
DPW1504151,Block Party Permit,"82 LAFFERTY AVE, PITTSBURGH, PA, 15210",Beltzhoover
DPW1504077,Block Party Permit,"2628 KENN ST, PITTSBURGH, PA, 15214",Perry South
DPW1504058,Block Party Permit,"5169 BROAD ST, PITTSBURGH, PA, 15224",Garfield
DPW1503943,Block Party Permit,"2701 CENTRE AVE, PITTSBURGH, PA, 15219",Middle Hill
DPW1503909,Block Party Permit,"10 CURTIN AVE, PITTSBURGH, PA, 15210",Beltzhoover
DPW1503894,Block Party Permit,"508 GRACE ST, PITTSBURGH, PA, 15211",Mount Washington
DPW1503895,Block Party Permit,"508 GRACE ST, PITTSBURGH, PA, 15211",Mount Washington
DPW1503846,Block Party Permit,"6327 SHETLAND AVE, PITTSBURGH, PA, 15206",Larimer
DPW1503854,Block Party Permit,"6000 CENTRE AVE, PITTSBURGH, PA, 15232",Shadyside
DPW1503702,Block Party Permit,"1719 RUTLEDGE ST, PITTSBURGH, PA, 15211",Duquesne Heights
DPW1503661,Block Party Permit,"60 S 18TH ST, PITTSBURGH, PA, 15203",South Side Flats
DPW1503675,Block Party Permit,"5324 POCUSSET ST, PITTSBURGH, PA, 15217",Squirrel Hill South
DPW1503598,Block Party Permit,"1110 JANCEY ST, PITTSBURGH, PA, 15206",Morningside
DPW1503593,Block Party Permit,"0 PAULSON AVE, PITTSBURGH, PA, 15206",Lincoln-Lemington-Belmar
DPW1503477,Block Party Permit,"239 OLYMPIA ST, PITTSBURGH, PA, 15211",Mount Washington
DPW1503491,Block Party Permit,"223 N AIKEN AVE, PITTSBURGH, PA, 15206",Garfield
DPW1503471,Block Party Permit,"407 GEARING AVE, PITTSBURGH, PA, 15210",Beltzhoover
DPW1503448,Block Party Permit,"320 N LANG AVE, PITTSBURGH, PA, 15208",Point Breeze North
DPW1503367,Block Party Permit,"7243 FINANCE ST, PITTSBURGH, PA, 15208",Homewood South
DPW1705746,Block Party Permit,"4900 HATFIELD ST, PITTSBURGH, ALLEGHENY, PA, 15201",Central Lawrenceville
DPW1705704,Block Party Permit,"304 CATOMA ST, PITTSBURGH, ALLEGHENY, PA, 15212",Fineview
DPW1705713,Block Party Permit,"117 SANFORD ST, PITTSBURGH, ALLEGHENY, PA, 15204",Esplen
DPW1705689,Block Party Permit,"5215 NATRONA WAY, PITTSBURGH, ALLEGHENY, PA, 15201",Upper Lawrenceville
DPW1705670,Block Party Permit,"117 BONVUE ST, PITTSBURGH, PA, 15214",Perry North
DPW1705671,Block Party Permit,"117 BONVUE ST, PITTSBURGH, PA, 15214",Perry North
DPW1705586,Block Party Permit,"1319 ALLEGHENY AVE, PITTSBURGH, ALLEGHENY, PA, 15233",Manchester
DPW1705606,Block Party Permit,"437 TURRETT ST, PITTSBURGH, ALLEGHENY, PA, 15206",Larimer
DPW1705607,Block Party Permit,"437 TURRETT ST, PITTSBURGH, ALLEGHENY, PA, 15206",Larimer
DPW1705543,Block Party Permit,"1843 LOCUST ST, PITTSBURGH, ALLEGHENY, PA, 15219",Bluff
DPW1205732,Block Party Permit,"1222 N SHERIDAN AVE, PITTSBURGH, PA, 15206",Highland Park
DPW1508848,Block Party Permit,"2407 WYLIE AVE, PITTSBURGH, PA, 15219",Middle Hill
DPW1103832,Block Party Permit,"1235 MALVERN AVE, PITTSBURGH, PA, 15217",Squirrel Hill North
DPW1103811,Block Party Permit,"117 SANFORD ST, PITTSBURGH, PA, 15204",Esplen
DPW1103769,Block Party Permit,"418 JUCUNDA ST, PITTSBURGH, PA, 15210",Knoxville
DPW1103756,Block Party Permit,"416 CATOMA ST, PITTSBURGH, PA, 15212",Fineview
DPW1103766,Block Party Permit,"7109 CHURCHLAND ST, PITTSBURGH, PA, 15206",Lincoln-Lemington-Belmar
DPW1103713,Block Party Permit,"5324 POCUSSET ST, PITTSBURGH, PA, 15217",Squirrel Hill South
DPW1103715,Block Party Permit,"218 N ATLANTIC AVE, PITTSBURGH, PA, 15224",Garfield
DPW1103718,Block Party Permit,"2010 STONELEA ST, PITTSBURGH, PA, 15212",Brighton Heights
DPW1103654,Block Party Permit,"0 NANTASKET ST, PITTSBURGH, PA, 15207",Greenfield
DPW1103664,Block Party Permit,"82 LAFFERTY AVE, PITTSBURGH, PA, 15210",Beltzhoover
DPW1103636,Block Party Permit,"10 CROSSMAN ST, PITTSBURGH, PA, 15203",South Side Slopes
DPW1103620,Block Party Permit,"221 LONDON TOWNE DR, PITTSBURGH, PA, 15226",Brookline
DPW1103509,Block Party Permit,"5829 FORWARD AVE, PITTSBURGH, PA, 15217",Squirrel Hill South
DPW1103512,Block Party Permit,"708 DELMONT AVE, PITTSBURGH, PA, 15210",Beltzhoover
DPW1103465,Block Party Permit,"520 SHAWANO ST, PITTSBURGH, PA, 15212",East Allegheny
DPW1103458,Block Party Permit,"604 W NORTH AVE, PITTSBURGH, PA, 15212",Central Northside
DPW1103427,Block Party Permit,"5507 DUNMOYLE AVE, PITTSBURGH, PA, 15217",Squirrel Hill North
DPW1103407,Block Party Permit,"0 DEARBORN ST, PITTSBURGH, PA, 15224",Garfield
DPW1103378,Block Party Permit,"0 PENN AVE, PITTSBURGH, PA, 15201",Central Lawrenceville
DPW1103285,Block Party Permit,"0 DECATUR ST, PITTSBURGH, PA, 15233",Manchester
DPW1103244,Block Party Permit,"0 CHESTER ST, PITTSBURGH, PA, 15206",Perry South
DPW1103211,Block Party Permit,"2459 N CHARLES ST, PITTSBURGH, PA, 15214",Perry South
DPW1103193,Block Party Permit,"5325 KINCAID ST, PITTSBURGH, PA, 15224",Garfield
DPW1103168,Block Party Permit,"4072 WOOLSLAIR WAY, PITTSBURGH, PA",Bloomfield
DPW1103098,Block Party Permit,"KREWSON WAY, PITTSBURGH, PA, 15204",
DPW1103053,Block Party Permit,", PITTSBURGH, PA",
DPW1103107,Block Party Permit,"0 WHARTON ST, PITTSBURGH, PA, 15203",South Side Flats
DPW1103087,Block Party Permit,"825 N BRADDOCK AVE, PITTSBURGH, PA, 15208",Homewood South
DPW1103054,Block Party Permit,", PITTSBURGH, PA",
DPW1103094,Block Party Permit,"1048 WILLARD, PITTSBURGH, PA",Point Breeze
DPW1103075,Block Party Permit,"911 BEECH AVE, PITTSBURGH, PA, 15233",Allegheny West
DPW1103052,Block Party Permit,", PITTSBURGH, PA",
DPW1103024,Block Party Permit,", PITTSBURGH, PA",
DPW1102994,Block Party Permit,", PITTSBURGH, PA",
DPW1102976,Block Party Permit,"853 PERALTA ST, PITTSBURGH, PA, 15212",East Allegheny
DPW1102914,Block Party Permit,"6955 WILLARD ST, PITTSBURGH, PA, 15208",Point Breeze
DPW1102895,Block Party Permit,"61 LAFFERTY AVE, PITTSBURGH, PA, 15210",Beltzhoover
DPW1102866,Block Party Permit,"1843 FAIRLAND ST, PITTSBURGH, PA, 15210",Carrick
DPW1102776,Block Party Permit,"1735 MCCULLOUGH ST, PITTSBURGH, PA, 15212",California-Kirkbride
DPW1102674,Block Party Permit,", PITTSBURGH, PA",
DPW1102657,Block Party Permit,", PITTSBURGH, PA",
DPW1102658,Block Party Permit,", PITTSBURGH, PA",
DPW1102664,Block Party Permit,", PITTSBURGH, PA",
DPW1102086,Block Party Permit,"1340 BENNINGTON AVE, PITTSBURGH, PA, 15217",Squirrel Hill North
DPW1101925,Block Party Permit,"BRADDOCK, PA",
DPW1101677,Block Party Permit,", PITTSBURGH, PA",
DPW1101400,Block Party Permit,"5635 STANTON AVE, PITTSBURGH, PA, 15206",Highland Park
DPW1101401,Block Party Permit,"7151 MOUNT VERNON ST, PITTSBURGH, PA, 15208",Homewood North
DPW1101107,Block Party Permit,226360-114228,
DPW1705490,Block Party Permit,"5324 POCUSSET ST, PITTSBURGH, PA, 15217",Squirrel Hill South
DPW1705451,Block Party Permit,"918 MEMORY LN, PITTSBURGH, ALLEGHENY, PA, 15219",Bedford Dwellings
DPW1705465,Block Party Permit,"2323 LAPLACE ST, PITTSBURGH, ALLEGHENY, PA, 15219",Middle Hill
DPW1704351,Block Party Permit,"271 PAULSON AVE, PITTSBURGH, PA, 15206",Larimer
DPW1705416,Block Party Permit,"5160 KEYSTONE ST, PITTSBURGH, PA, 15201",Upper Lawrenceville
DPW1705381,Block Party Permit,"6641 RIDGEVILLE ST, PITTSBURGH, ALLEGHENY, PA, 15217",Squirrel Hill North
DPW1705393,Block Party Permit,"508 GRACE ST, PITTSBURGH, ALLEGHENY, PA, 15211",Mount Washington
DPW1705394,Block Party Permit,"508 GRACE ST, PITTSBURGH, ALLEGHENY, PA, 15211",Mount Washington
DPW1705335,Block Party Permit,"1228 MALVERN AVE, PITTSBURGH, ALLEGHENY, PA, 15217",Squirrel Hill North
DPW1705337,Block Party Permit,"1821 BRIGHTON PL, PITTSBURGH, ALLEGHENY, PA, 15212",California-Kirkbride
DPW1705340,Block Party Permit,"5306 DUNCAN ST, PITTSBURGH, ALLEGHENY, PA, 15201",Upper Lawrenceville
DPW1705306,Block Party Permit,"346 SPAHR ST, PITTSBURGH, ALLEGHENY, PA, 15232",Shadyside
DPW1705278,Block Party Permit,"7318 KELLY ST, PITTSBURGH, ALLEGHENY, PA, 15208",Homewood South
DPW1705286,Block Party Permit,"424 NICKEL WAY, PITTSBURGH, ALLEGHENY, PA, 15224",Bloomfield
DPW1705268,Block Party Permit,"109 ROCHELLE, PITTSBURGH, PA",Knoxville
DPW1705216,Block Party Permit,"1100 PORTLAND ST, PITTSBURGH, ALLEGHENY, PA, 15206",Highland Park
DPW1705217,Block Party Permit,"2331 REED ST, PITTSBURGH, ALLEGHENY, PA, 15219",Middle Hill
DPW1705184,Block Party Permit,"7106 HERMITAGE ST, PITTSBURGH, ALLEGHENY, PA, 15208",Homewood North
DPW1704183,Block Party Permit,"1800 RIALTO ST, PITTSBURGH, ALLEGHENY, PA, 15212",Troy Hill
DPW1704451,Block Party Permit,"3701 ALEXIS ST, PITTSBURGH, ALLEGHENY, PA, 15207",Greenfield
DPW1704350,Block Party Permit,"271 PAULSON AVE, PITTSBURGH, PA, 15206",Larimer
DPW1704319,Block Party Permit,"7 CROSSMAN ST, PITTSBURGH, ALLEGHENY, PA, 15203",South Side Slopes
DPW1704267,Block Party Permit,"2129 BEDFORD AVE, PITTSBURGH, ALLEGHENY, PA, 15219",Bedford Dwellings
DPW1704272,Block Party Permit,"1131 MELLON ST, PITTSBURGH, ALLEGHENY, PA, 15206",Highland Park
DPW1704043,Block Party Permit,"5510 DARLINGTON RD, PITTSBURGH, ALLEGHENY, PA, 15217",Squirrel Hill South
DPW1704044,Block Party Permit,"5510 DARLINGTON RD, PITTSBURGH, ALLEGHENY, PA, 15217",Squirrel Hill South
DPW1703987,Block Party Permit,"1216 DUFFIELD ST, PITTSBURGH, ALLEGHENY, PA, 15206",Morningside
DPW1703958,Block Party Permit,"1806 RIALTO ST, PITTSBURGH, ALLEGHENY, PA, 15212",Troy Hill
DPW1703848,Block Party Permit,"1214 BENNINGTON AVE, PITTSBURGH, ALLEGHENY, PA, 15217",Squirrel Hill North
DPW1703849,Block Party Permit,"1214 BENNINGTON AVE, PITTSBURGH, ALLEGHENY, PA, 15217",Squirrel Hill North
DPW1703852,Block Party Permit,"114 S ATLANTIC AVE, PITTSBURGH, ALLEGHENY, PA, 15224",Bloomfield
DPW1703813,Block Party Permit,"5919 PENN AVE, PITTSBURGH, ALLEGHENY, PA, 15206",East Liberty
DPW1703713,Block Party Permit,"EDGERTON AVE, PITTSBURGH, ALLEGHENY, PA, 15208",
DPW1703668,Block Party Permit,"7241 RACE ST, PITTSBURGH, PA, 15208",Homewood North
DPW1703622,Block Party Permit,"15 RICHEY AVE, PITTSBURGH, ALLEGHENY, PA, 15214",Perry North
DPW1703556,Block Party Permit,"612 MELLON ST, PITTSBURGH, ALLEGHENY, PA, 15206",East Liberty
DPW1703451,Block Party Permit,"1244 PENNSYLVANIA AVE, PITTSBURGH, ALLEGHENY, PA, 15233",Manchester
DPW1703414,Block Party Permit,"769 S LINDEN AVE, PITTSBURGH, ALLEGHENY, PA, 15208",Point Breeze
DPW1703161,Block Party Permit,"44 MAYFLOWER ST, PITTSBURGH, ALLEGHENY, PA, 15206",Larimer
DPW1702447,Block Party Permit,"60 S 18TH, PITTSBURGH, PA",South Side Flats
DPW1702112,Block Party Permit,"5002 DEARBORN ST, PITTSBURGH, PA, 15224",Garfield
